trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.5, 'e': 0.0655}",25,16,16.654659664802168,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.061999999999999944}",25,17,17.053255581308026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.058499999999999996}",25,11,29.94462933428252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.05499999999999994}",20,9,18.677972299855014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.05149999999999999}",20,8,-16.76363586393688,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.04799999999999993}",20,6,-68.6341127370653,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
272,False,"{'a': 0.5, 'e': 0.044499999999999984}",20,11,22.061339734477126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.040999999999999925}",25,13,7.88352818776684,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.03749999999999998}",35,27,16.192818687163413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.03400000000000003}",30,7,-1.9403516232833433,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
276,False,"{'a': 0.5, 'e': 0.03049999999999997}",25,7,23.692479677016628,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.027000000000000024}",20,8,21.684543493495507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.023499999999999965}",25,4,30.608212676136123,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.020000000000000018}",20,14,12.337644214194057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.01649999999999996}",30,16,29.400389921920187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.013000000000000012}",25,14,15.756472181354752,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.009499999999999953}",35,23,25.340962325199822,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.006000000000000005}",20,12,15.36631623368678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.0024999999999999467}",25,7,29.998514387511083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': -0.001000000000000112}",30,18,21.477387116103912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,20.625457813590057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,17,17.27050066474701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,30.043980887086516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,8,44.00775379632964,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,19.59539587969457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,5,38.84263051638858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,19.919786684547912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,16,25.525968369751077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,22.961440782487298,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,21.789246305377453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
