trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.51}",20,0,-20.918956120407493,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.5065}",20,0,-36.83834117892765,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.503}",25,1,-93.02478094826397,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.49949999999999994}",30,6,-83.81610786413704,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.496}",20,16,7.665819817814288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.49249999999999994}",25,17,-37.96482227800059,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.489}",25,0,2.84617432687227,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.48550000000000004}",25,5,10.284839524378464,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.482}",25,0,-131.35596567966792,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
148,False,"{'a': 0.5, 'e': 0.47850000000000004}",20,8,-1.4283473639716524,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.475}",30,0,12.824510168513305,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.47150000000000003}",35,13,-96.4820806561126,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 2}",1
151,False,"{'a': 0.5, 'e': 0.46799999999999997}",20,13,-11.742496498553113,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.4645}",20,0,14.364773252945211,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.46099999999999997}",20,9,-20.13716081500754,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.4575}",20,9,9.161902639364058,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
